address,type,price,details,url
"18 E Northwest Hwy Apt 12, Arlington Heights, IL 60004",SingleFamilyResidence,$900/mo,Studio1 ba525 sqft- Apartment for rent,https://www.zillow.com/homedetails/18-E-Northwest-Hwy-APT-12-Arlington-Heights-IL-60004/2113663807_zpid/
"2223 N. Sawyer Ave. | 2223 N Sawyer Ave, Chicago, IL", 2 bds,"$1,690+ 2 bds", 2 bds,https://www.zillow.com/homedetails/2223-N.-Sawyer-Ave.---2223-N-Sawyer-Ave-Chicago-IL
"3701 W Wrightwood Ave #2f, Chicago, IL 60647",SingleFamilyResidence,"$1,850/mo","3 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/3701-W-Wrightwood-Ave-2F-Chicago-IL-60647/2073084301_zpid/
"4317 W Irving Park Rd #3b, Chicago, IL 60641",SingleFamilyResidence,"$1,125/mo",2 bds1 ba450 sqft- Apartment for rent,https://www.zillow.com/homedetails/4317-W-Irving-Park-Rd-3B-Chicago-IL-60641/2079768570_zpid/
"3001-07 N. Spaulding Ave./ 3242-48 W. Wellington Ave. | 3001-07 N Spaulding Ave, Chicago, IL", 1 bd,"$1,350+ 1 bd", 1 bd,https://www.zillow.com/homedetails/3001-07-N.-Spaulding-Ave./-3242-48-W.-Wellington-Ave.---3001-07-N-Spaulding-Ave-Chicago-IL
"4820 W Roscoe St #1, Chicago, IL 60641",SingleFamilyResidence,"$1,700/mo","3 bds1 ba1,400 sqft- Apartment for rent",https://www.zillow.com/homedetails/4820-W-Roscoe-St-1-Chicago-IL-60641/2073086713_zpid/
"3909 W Schubert Ave #1f, Chicago, IL 60647",SingleFamilyResidence,"$1,500/mo",2 bds1 ba950 sqft- Apartment for rent,https://www.zillow.com/homedetails/3909-W-Schubert-Ave-1F-Chicago-IL-60647/2073088419_zpid/
"135 N Long Ave, Chicago, IL 60644",SingleFamilyResidence,"$1,500/mo",3 bds1 ba-- sqft- Townhouse for rent,https://www.zillow.com/homedetails/135-N-Long-Ave-Chicago-IL-60644/2076648744_zpid/
"4016 W Jackson Blvd #2, Chicago, IL 60624",SingleFamilyResidence,"$1,400/mo","3 bds2 ba1,600 sqft- Apartment for rent",https://www.zillow.com/homedetails/4016-W-Jackson-Blvd-2-Chicago-IL-60624/2073089645_zpid/
"1908 N Keystone Ave Apt 3, Chicago, IL 60639",SingleFamilyResidence,"$1,450/mo","2 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/1908-N-Keystone-Ave-APT-3-Chicago-IL-60639/2082298974_zpid/
"3327 W Pierce Ave Apt 3, Chicago, IL 60651",SingleFamilyResidence,"$2,100/mo","3 bds2 ba1,300 sqft- Apartment for rent",https://www.zillow.com/homedetails/3327-W-Pierce-Ave-APT-3-Chicago-IL-60651/2084731004_zpid/
"6000 Oakwood Dr Apt 1a, Lisle, IL 60532",SingleFamilyResidence,"$1,550/mo","2 bds1.5 ba1,250 sqft- Condo for rent",https://www.zillow.com/homedetails/6000-Oakwood-Dr-APT-1A-Lisle-IL-60532/69071068_zpid/
"1028 Randolph St Apt 1nw, Oak Park, IL 60302",SingleFamilyResidence,"$1,175/mo",1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/1028-Randolph-St-APT-1NW-Oak-Park-IL-60302/2086452436_zpid/
"2933 N Ridgeway Ave #1, Chicago, IL 60618",SingleFamilyResidence,"$1,500/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2933-N-Ridgeway-Ave-1-Chicago-IL-60618/2124316036_zpid/
"3112 W Lyndale St #1, Chicago, IL 60647",SingleFamilyResidence,"$1,650/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/3112-W-Lyndale-St-1-Chicago-IL-60647/2073105912_zpid/
"2854 N Ridgeway Ave Front 1, Chicago, IL 60618",SingleFamilyResidence,"$1,450/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2854-N-Ridgeway-Ave-FRONT-1-Chicago-IL-60618/2073106169_zpid/
"3350 W Evergreen Ave #avenue3-1e, Chicago, IL 60651",SingleFamilyResidence,"$1,690+/mo",3 bds2 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3350-W-Evergreen-Ave-AVENUE3-1E-Chicago-IL-60651/2073106172_zpid/
"4100 W North Ave #2, Chicago, IL 60639",SingleFamilyResidence,"$1,300/mo","2 bds1 ba1,300 sqft- Apartment for rent",https://www.zillow.com/homedetails/4100-W-North-Ave-2-Chicago-IL-60639/2118497801_zpid/
"4013 N Avers Ave #2, Chicago, IL 60618",SingleFamilyResidence,"$1,800/mo","3 bds1 ba1,800 sqft- Apartment for rent",https://www.zillow.com/homedetails/4013-N-Avers-Ave-2-Chicago-IL-60618/2091989632_zpid/
"2713 N Kimball Ave #2, Chicago, IL 60647",SingleFamilyResidence,"$2,200/mo","3 bds1 ba1,600 sqft- Apartment for rent",https://www.zillow.com/homedetails/2713-N-Kimball-Ave-2-Chicago-IL-60647/2073113968_zpid/
"2231 N Sawyer Ave #a, Chicago, IL 60647",SingleFamilyResidence,"$1,710/mo","3 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/2231-N-Sawyer-Ave-A-Chicago-IL-60647/2101968260_zpid/
"2544 N Avers Ave Apt 2, Chicago, IL 60647",SingleFamilyResidence,"$1,795/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/2544-N-Avers-Ave-APT-2-Chicago-IL-60647/2073119909_zpid/
"315 N Maple Ave #1c, Oak Park, IL 60302",SingleFamilyResidence,"$1,295/mo",1 bd1 ba700 sqft- Apartment for rent,https://www.zillow.com/homedetails/315-N-Maple-Ave-1C-Oak-Park-IL-60302/2073120256_zpid/
"535-569 Maple Avenue | 535-569 Maple Ave, Lisle, IL", 2 bds,"$1,395+ 2 bds", 2 bds,https://www.zillow.com/homedetails/535-569-Maple-Avenue---535-569-Maple-Ave-Lisle-IL
"3434 W Evergreen Ave, Chicago, IL 60651",SingleFamilyResidence,$900/mo,1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3434-W-Evergreen-Ave-Chicago-IL-60651/2081186360_zpid/
"5115 W Roscoe St #1, Chicago, IL 60641",SingleFamilyResidence,"$1,400/mo","2 bds1 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/5115-W-Roscoe-St-1-Chicago-IL-60641/2114315154_zpid/
"2105 N Latrobe Ave #2, Chicago, IL 60639",SingleFamilyResidence,"$1,350/mo",2 bds1 ba850 sqft- Apartment for rent,https://www.zillow.com/homedetails/2105-N-Latrobe-Ave-2-Chicago-IL-60639/2073131851_zpid/
"7452 Forest Preserve Dr #ch, Chicago, IL 60634",SingleFamilyResidence,"$1,000/mo",1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/7452-Forest-Preserve-Dr-CH-Chicago-IL-60634/2073132541_zpid/
"3301 W Belden / 2250 N Spaulding | 3301 W Belden Ave, Chicago, IL", 1 bd,"$1,031 1 bd", 1 bd,https://www.zillow.com/homedetails/3301-W-Belden-/-2250-N-Spaulding---3301-W-Belden-Ave-Chicago-IL
"233 S Highland Ave, Arlington Heights, IL 60005",SingleFamilyResidence,"$1,050/mo",1 bd1 ba825 sqft- Condo for rent,https://www.zillow.com/homedetails/233-S-Highland-Ave-Arlington-Heights-IL-60005/2073132811_zpid/
"2915 N Albany Ave #2, Chicago, IL 60618",SingleFamilyResidence,"$2,800/mo",3 bds2 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2915-N-Albany-Ave-2-Chicago-IL-60618/2073133581_zpid/
"3120 N Kimball Ave #g, Chicago, IL 60618",SingleFamilyResidence,"$1,300/mo",1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3120-N-Kimball-Ave-G-Chicago-IL-60618/2094459072_zpid/
"2536 N Kimball Ave #102, Chicago, IL 60647",SingleFamilyResidence,"$1,237/mo",1 bd1 ba498 sqft- Apartment for rent,https://www.zillow.com/homedetails/2536-N-Kimball-Ave-102-Chicago-IL-60647/2095022583_zpid/
"4056 W Palmer St Apt 1, Chicago, IL 60639",SingleFamilyResidence,"$1,300/mo","2 bds2 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/4056-W-Palmer-St-APT-1-Chicago-IL-60639/2073135421_zpid/
"3249 N Central Park Ave #garden, Chicago, IL 60618",SingleFamilyResidence,"$1,150/mo",1 bd1 ba800 sqft- Apartment for rent,https://www.zillow.com/homedetails/3249-N-Central-Park-Ave-GARDEN-Chicago-IL-60618/2099350929_zpid/
"2964 N Ridgeway Ave, Chicago, IL", 1 bd,"$1,250 1 bd", 1 bd,https://www.zillow.com/homedetails/2964-N-Ridgeway-Ave-Chicago-IL
"3544 W Belden Ave #35441, Chicago, IL 60647",SingleFamilyResidence,"$1,450/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3544-W-Belden-Ave-35441-Chicago-IL-60647/2073139008_zpid/
"110 S Clinton Ave, Oak Park, IL 60302",SingleFamilyResidence,"$1,650/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/110-S-Clinton-Ave-Oak-Park-IL-60302/2078238989_zpid/
"3214 W Fullerton Ave #2, Chicago, IL 60647",SingleFamilyResidence,"$1,800/mo",2 bds2 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3214-W-Fullerton-Ave-2-Chicago-IL-60647/2073149589_zpid/
"4224 N Monitor Ave #basement, Chicago, IL 60634",SingleFamilyResidence,$850/mo,Studio1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/4224-N-Monitor-Ave-BASEMENT-Chicago-IL-60634/2078813456_zpid/
"3102 N Saint Louis Ave #1, Chicago, IL 60618",SingleFamilyResidence,"$1,800/mo",2 bds1 ba937 sqft- Apartment for rent,https://www.zillow.com/homedetails/3102-N-Saint-Louis-Ave-1-Chicago-IL-60618/2073153087_zpid/
"1198 Royal Glen Dr, Glen Ellyn, IL", 1 bd,"$1,200+ 1 bd", 1 bd,https://www.zillow.com/homedetails/1198-Royal-Glen-Dr-Glen-Ellyn-IL
"2200 S Stewart Ave Apt 4f, Lombard, IL 60148",SingleFamilyResidence,"$1,200/mo",1 bd1 ba780 sqft- Apartment for rent,https://www.zillow.com/homedetails/2200-S-Stewart-Ave-APT-4F-Lombard-IL-60148/4494934_zpid/
"4711 Saint Joseph Creek Rd Apt 5c, Lisle, IL 60532",SingleFamilyResidence,"$1,200/mo",1 bd1 ba816 sqft- Apartment for rent,https://www.zillow.com/homedetails/4711-Saint-Joseph-Creek-Rd-APT-5C-Lisle-IL-60532/4524799_zpid/
"2859 N Sawyer Ave, Chicago, IL 60618",SingleFamilyResidence,"$1,100/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/2859-N-Sawyer-Ave-Chicago-IL-60618/2073158216_zpid/
"3110 N Monitor Ave #1, Chicago, IL 60634",SingleFamilyResidence,"$1,300/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/3110-N-Monitor-Ave-1-Chicago-IL-60634/2076641915_zpid/
"3259 W Walnut St #2, Chicago, IL 60624",SingleFamilyResidence,"$1,200/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/3259-W-Walnut-St-2-Chicago-IL-60624/2088492947_zpid/
"554 Pershing Ave Apt B, Glen Ellyn, IL 60137",SingleFamilyResidence,"$1,000/mo",1 bd1 ba500 sqft- Apartment for rent,https://www.zillow.com/homedetails/554-Pershing-Ave-APT-B-Glen-Ellyn-IL-60137/2093340007_zpid/
"1603 Maple Ter Unit 2c, Lisle, IL 60532",SingleFamilyResidence,"$1,200/mo",1 bd1 ba770 sqft- Condo for rent,https://www.zillow.com/homedetails/1603-Maple-Ter-UNIT-2C-Lisle-IL-60532/4533596_zpid/
"3247 N Ozark Ave, Chicago, IL 60634",SingleFamilyResidence,$975/mo,"1 bd1 ba1,750 sqft- Apartment for rent",https://www.zillow.com/homedetails/3247-N-Ozark-Ave-Chicago-IL-60634/3599282_zpid/
"1308 N Homan Ave Apt 1, Chicago, IL 60651",SingleFamilyResidence,"$1,395/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1308-N-Homan-Ave-APT-1-Chicago-IL-60651/2082254414_zpid/
"1940 N Sawyer Ave #2, Chicago, IL 60647",SingleFamilyResidence,"$1,350/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1940-N-Sawyer-Ave-2-Chicago-IL-60647/2075319345_zpid/
"121 S Grove Ave #2, Oak Park, IL 60302",SingleFamilyResidence,"$1,850/mo","2 bds1 ba1,100 sqft- Apartment for rent",https://www.zillow.com/homedetails/121-S-Grove-Ave-2-Oak-Park-IL-60302/2075392660_zpid/
"3235 W Le Moyne St #2, Chicago, IL 60651",SingleFamilyResidence,"$1,400/mo","3 bds1 ba1,200 sqft- Apartment for rent",https://www.zillow.com/homedetails/3235-W-Le-Moyne-St-2-Chicago-IL-60651/2075595338_zpid/
"710 Washington Blvd, Oak Park, IL 60302",SingleFamilyResidence,"$1,325/mo",1 bd1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/710-Washington-Blvd-Oak-Park-IL-60302/2078301943_zpid/
"710 Washington Blvd #302, Oak Park, IL 60302",SingleFamilyResidence,"$1,200/mo",1 bd1 ba700 sqft- Apartment for rent,https://www.zillow.com/homedetails/710-Washington-Blvd-302-Oak-Park-IL-60302/2077409222_zpid/
"3219 W Hirsch St, Chicago, IL 60651",SingleFamilyResidence,"$1,350/mo",2 bds1 ba-- sqft- Apartment for rent,https://www.zillow.com/homedetails/3219-W-Hirsch-St-Chicago-IL-60651/2075390095_zpid/
"1637 N Karlov Ave, Chicago, IL 60639",SingleFamilyResidence,"$1,250/mo","2 bds1 ba1,000 sqft- Apartment for rent",https://www.zillow.com/homedetails/1637-N-Karlov-Ave-Chicago-IL-60639/158509525_zpid/
